ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,bb,pe_rank,ps_rank,pb_rank,pfcf_rank,bby,shy,shy_rank,evebitda_rank,rank,ovr_rank
AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,854260000.0,16.16,7.39,1.02,0.0,0.0,-4.75,5.01,0,48.0552070263488,19.84943538268507,73.4504391468005,99.72396486825596,-0.0,0.0,32.54705144291092,50,323.62609786700125,59.07151819322459
AAVL,"Avalanche Biotechnologies, Inc.",Healthcare,Biotechnology,USA,272620000.0,0.0,340.77,1.0,0.0,0.0,-71.2,10.62,-302417000,99.69887076537015,4.416562107904642,74.22835633626099,99.69887076537015,110.9298657471939,110.9298657471939,99.84943538268507,50,427.89209535759096,95.90966122961105
AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,1050000000.0,8.26,0.56,0.69,4.93,0.0,-12.37,41.78,-16119000,67.62860727728983,86.42409033877038,87.67879548306148,49.887076537013805,1.5351428571428571,1.5351428571428571,56.76286072772898,50,398.38143036386447,91.39272271016311
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2630000000.0,13.25,11.98,1.63,0.0,7.35,-0.02,26.11,-14917000,56.38644918444166,13.927227101631118,55.0564617314931,99.64868255959848,0.5671863117870722,7.917186311787072,84.06524466750314,50,359.0840652446675,74.7051442910916
ABAX,"Abaxis, Inc.",Healthcare,Medical Laboratories & Research,USA,1080000000.0,48.02,5.1,4.79,80.01,0.93,-23.08,47.54,-57000,10.388958594730239,27.904642409033876,17.28983688833124,6.398996235884567,0.005277777777777778,0.9352777777777779,50.86574654956085,50,162.84818067754077,4.215809284818068
ABB,ABB Ltd.,Industrial Goods,Diversified Machinery,Switzerland,43870000000.0,16.96,1.16,2.92,32.93,0.95,-7.9,18.99,0,45.19447929736512,69.93726474278544,32.095357590966124,18.89585947302384,-0.0,0.95,51.06649937264742,50,267.189460476788,33.29987452948557
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,109080000000.0,51.48,5.2,19.38,0.0,3.1,10.52,65.9,5444000000,9.46047678795483,27.327478042659976,2.4592220828105393,99.57340025094102,-4.990832416574991,-1.8908324165749906,13.500627352572145,50,202.3212045169385,12.622333751568382
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,22010000000.0,0.0,0.17,14.18,7.05,1.14,-0.41,101.8,787274000,99.5483061480552,96.93851944792974,3.538268506900878,48.33124215809285,-3.5768923216719672,-2.4368923216719676,11.693851944792973,50,310.0501882057717,53.52572145545796
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,890010000.0,23.42,5.09,1.83,0.0,0.72,6.55,27.64,-115200000,28.858218318695105,28.030112923462987,50.414052697616064,99.52321204516939,12.943674790170897,13.663674790170898,90.89084065244668,50,347.71643663739025,69.56085319949811
ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,211030000.0,0.0,1.49,0.0,17.59,0.0,75.09,4.64,257000,99.49811794228356,62.71016311166876,99.49811794228356,34.62986198243413,-0.12178363265886367,-0.12178363265886367,22.1831869510665,50,368.5194479297365,79.49811794228356
ABCO,The Advisory Board Company,Services,Business Services,USA,2140000000.0000002,0.0,3.25,3.62,52.89,0.0,-6.21,50.33,35302000,99.47302383939774,40.376411543287325,25.269761606022584,10.865746549560853,-1.649626168224299,-1.649626168224299,14.328732747804265,50,240.31367628607276,23.41279799247177
ABCW,Anchor BanCorp Wisconsin Inc.,Financial,Savings & Loans,USA,383620000.0,19.68,5.17,1.58,54.03,0.0,15.16,39.96,-5627000,37.11417816813049,27.578419071518194,56.41154328732748,10.664993726474279,1.4668161201188676,1.4668161201188676,56.16060225846926,50,237.9297365119197,22.659974905897116
ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,80380000000.0,22.26,6.74,6.32,0.0,0.0,-20.5,5.12,0,31.217063989962355,21.45545796737767,11.568381430363866,99.4228356336261,-0.0,0.0,27.97992471769134,50,241.64366373902135,23.889585947302383
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,2100000000.0,18.31,0.34,5.75,700.37,0.0,0.47,78.9,295400000,40.903387703889585,92.99874529485571,13.601003764115433,0.602258469259724,-14.066666666666666,-14.066666666666666,1.1292346298619824,50,199.23462986198243,11.91969887076537
ABGB,Abengoa SA,Industrial Goods,Industrial Electrical Equipment,Spain,7200000000.0,51.13,0.87,3.97,0.0,14.91,-77.16,4.09,0,9.636135508155585,78.06775407779172,22.208281053952323,99.37264742785446,-0.0,14.91,91.86951066499373,50,351.1543287327478,70.89084065244667
ABM,ABM Industries Incorporated,Services,Business Services,USA,1860000000.0,22.71,0.36,1.87,33.9,1.94,7.52,32.93,9200000,30.188205771643663,92.22082810539524,49.485570890840656,18.243412797992473,-0.49462365591397855,1.4453763440860214,55.884567126725216,50,296.02258469259726,46.675031367628605
ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,4080000000.0,34.55,16.01,13.14,92.15,0.0,58.84,97.08,-15496000,16.662484316185697,9.98745294855709,4.0150564617314926,5.545796737766625,0.37980392156862747,0.37980392156862747,43.7892095357591,50,130.0,0.9284818067754078
ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified,USA,331240000.0,3.49,2.23,0.71,35.24,9.23,-3.36,6.5,144000,72.69761606022584,50.91593475533249,87.37766624843162,17.28983688833124,-0.04347301050597754,9.186526989494023,86.17314930991216,50,364.45420326223336,77.31493099121707
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,70240000000.0,29.83,3.43,3.06,71.9,2.04,0.59,47.13,933000000,20.501882057716436,38.89585947302384,30.4642409033877,7.377666248431619,-1.3283029612756265,0.7116970387243735,48.10539523212045,50,195.34504391468005,10.865746549560853
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,391650000.0,0.0,23.31,0.66,0.0,0.0,0.0,7.21,-144933000,99.24717691342535,8.306148055207025,88.23086574654955,99.24717691342535,37.00574492531597,37.00574492531597,97.94228356336261,50,442.97365119196985,97.56587202007529
ABX,Barrick Gold Corporation,Basic Materials,Gold,Canada,9370000000.0,0.0,0.97,0.92,0.0,1.0,-36.46,8.01,0,99.22208281053952,74.93099121706399,77.61606022584692,99.22208281053952,-0.0,1.0,51.91969887076537,50,452.91091593475534,98.31869510664994
ABY,Abengoa Yield plc,Utilities,Electric Utilities,United Kingdom,1990000000.0,180.45,4.77,0.94,110.52,8.06,-39.61,19.85,0,2.0075282308657463,29.786700125470517,76.68757841907153,4.416562107904642,-0.0,8.06,84.36637390213299,50,247.26474278544543,25.77164366373902
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3590000000.0,0.0,53592.06,13.98,0.0,0.0,-5.24,35.65,-8127000,99.17189460476789,0.0,3.5884567126725218,99.17189460476789,0.22637883008356546,0.22637883008356546,40.953575909661225,50,292.8858218318695,44.81806775407779
ACAS,"American Capital, Ltd.",Financial,Asset Management,USA,3730000000.0,16.9,6.12,0.68,21.92,0.0,-8.0,13.69,19000000,45.395232120451695,23.362609786700126,87.9297365119197,28.281053952321205,-0.5093833780160858,-0.5093833780160858,18.971141781681304,50,253.93977415307404,28.180677540777914
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,USA,349030000.0,2689.0,0.51,1.94,0.0,1.86,-26.24,26.89,-488000,0.05018820577164366,88.35633626097868,48.10539523212045,99.12170639899624,0.13981606165659113,1.9998160616565912,60.52697616060227,50,346.1606022584693,68.93350062735257
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,4150000000.0000005,38.91,5.54,1.47,0.0,4.33,-11.12,36.96,-302361000,14.40401505646173,25.821831869510664,59.44792973651192,99.09661229611041,7.285807228915661,11.61580722891566,89.03387703889585,50,337.8042659974906,65.67126725219573
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,807730000.0,8.59,0.5,1.35,5.65,0.0,-2.48,7.47,58800000,67.02634880803011,88.6323713927227,62.584692597239645,49.43538268506901,-7.279660282520149,-7.279660282520149,3.3877038895859477,50,321.0664993726474,58.11794228356336
ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,34020000000.000004,11.81,1.75,1.16,9.92,2.55,-7.48,105.07,1524000000,59.6486825595985,57.49058971141782,68.68255959849435,45.21957340025094,-4.4797178130511455,-1.9297178130511456,13.400250941028858,50,294.4416562107905,45.92220828105395
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,USA,710820000.0,28.06,1.32,2.92,77.26,0.98,17.64,24.41,-1532000,22.33375156838143,66.19824341279799,32.12045169385194,6.725219573400251,0.2155257308460651,1.1955257308460652,53.70138017565872,50,231.07904642409034,20.52697616060226
ACG,AllianceBernstein Income Fund,Financial,Closed-End Fund - Debt,USA,1810000000.0,12.81,15.89,0.89,32.92,5.16,8.97,7.94,0,57.49058971141782,10.087829360100377,79.09661229611041,18.946047678795484,-0.0,5.16,75.9598494353827,50,291.5809284818068,43.96486825595985
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,8630000000.0,11.21,2.09,1.48,9.42,0.0,18.4,70.51,809530000,61.17942283563362,53.07402760351317,59.222082810539526,45.99749058971142,-9.380417149478564,-9.380417149478564,2.132998745294856,50,271.6060225846926,35.10664993726474
ACH,Aluminum Corporation Of China Limited,Basic Materials,Aluminum,China,12310000000.0,0.0,0.59,0.92,0.0,0.0,-28.15,8.32,0,98.94604767879548,85.54579673776662,77.54077791718946,98.94604767879548,-0.0,0.0,30.53952321204517,50,441.51819322459227,97.39021329987453
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,5280000000.0,48.16,3.75,3.02,0.0,0.0,17.62,73.68,-322681000,10.28858218318695,36.56210790464241,30.840652446675033,98.92095357590966,6.111382575757576,6.111382575757576,79.17189460476789,50,305.7841907151819,51.568381430363864
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1070000000.0000001,0.0,1531.35,3.83,0.0,0.0,-37.77,7.86,-192129000,98.89585947302383,0.40150564617314927,23.41279799247177,98.89585947302383,17.95598130841121,17.95598130841121,93.52572145545797,50,365.1317440401506,77.71643663739022
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2580000000.0,28.8,2.48,4.28,23.61,0.0,7.36,21.89,-25944000,21.50564617314931,47.97992471769134,20.15056461731493,26.624843161856965,1.0055813953488373,1.0055813953488373,52.04516938519448,50,218.30614805520702,16.762860727728985
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials,USA,375950000.0,164.5,1.49,2.07,57.84,0.0,26.54,3.29,-3409000,2.233375156838143,62.785445420326226,45.395232120451695,9.661229611041405,0.906769517223035,0.906769517223035,50.56461731493099,50,220.63989962358846,17.390213299874528
ACM,AECOM,Services,Technical Services,USA,4110000000.0000005,0.0,0.26,1.19,6.99,0.0,-6.03,27.25,-14328000,98.82057716436637,95.0564617314931,67.80426599749059,48.40652446675031,0.3486131386861313,0.3486131386861313,43.186951066499375,50,403.27478042659976,92.44667503136763
ACN,Accenture plc,Technology,Information Technology Services,Ireland,64000000000.0,20.98,1.95,10.29,25.25,2.1,8.39,97.13,1879473000,34.153074027603516,54.88080301129234,5.922208281053953,24.66750313676286,-2.9366765624999998,-0.8366765624999997,17.51568381430364,50,187.13927227101632,8.657465495608532
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,1280000000.0,124.58,2.93,2.25,35.3,0.0,-19.6,29.9,-17908000,3.0112923462986196,43.71392722710163,42.358845671267254,17.189460476787954,1.3990624999999999,1.3990624999999999,55.60853199498118,50,211.88205771643663,15.031367628607278
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,363350000.0,12.45,3.25,0.89,30.03,7.87,9.89,12.7,-83397000,58.31869510664994,40.30112923462986,79.17189460476789,21.028858218318693,22.952249896793724,30.822249896793725,97.28983688833124,50,346.11041405269765,68.90840652446674
ACTA,Actua Corporation,Technology,Application Software,USA,566990000.0,0.0,5.09,1.27,0.0,0.0,-8.62,13.89,19249000,98.72020075282309,27.97992471769134,65.19447929736512,98.72020075282309,-3.3949452371294027,-3.3949452371294027,9.485570890840652,50,350.1003764115433,70.61480552070265
ACTG,Acacia Research Corporation,Services,Business Services,USA,450060000.0,0.0,3.15,0.95,0.0,5.64,-27.33,8.87,-959000,98.69510664993727,41.45545796737767,76.38644918444164,98.69510664993727,0.2130827000844332,5.853082700084433,78.16813048933501,50,443.40025094102884,97.69134253450439
ACXM,Acxiom Corporation,Technology,Information Technology Services,USA,1570000000.0,0.0,1.61,2.25,34.56,0.0,4.08,20.13,17037000,98.67001254705144,60.47678795483061,42.28356336260979,17.8168130489335,-1.0851592356687898,-1.0851592356687898,16.61229611041405,50,285.8594730238394,41.50564617314931
ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,889000000.0,0.0,202.05,1.6,0.0,0.0,0.0,12.53,98.64491844416563,4.7929736511919705,55.834378920953576,98.64491844416563,0.0,24.040150564617317,50,331.95734002509414,63.26223337515684
ADBE,Adobe Systems Incorporated,Technology,Application Software,USA,39250000000.0,109.54,9.02,5.96,33.84,0.0,0.99,78.87,645668000,3.4880803011292345,17.716436637390213,12.8732747804266,18.318695106649937,-1.6450140127388535,-1.6450140127388535,14.37892095357591,50,116.7754077791719,0.40150564617314927
ADC,Agree Realty Corp.,Financial,Property Management,USA,538380000.0,18.07,8.83,1.41,0.0,6.28,-7.91,29.63,-86925000,41.70639899623588,17.892095357590968,61.15432873274781,98.59473023839398,16.145659199821687,22.425659199821688,95.28230865746549,50,364.62986198243414,77.465495608532
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,214040000.0,0.0,0.79,0.0,0.0,0.0,-42.06,9.85,98.56963613550815,80.2258469259724,98.56963613550815,98.56963613550815,0.0,24.843161856963615,50,450.7779171894604,98.19322459222083
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,16860000000.0,25.25,5.38,3.39,47.19,2.98,-7.65,53.78,176219000,25.947302383939775,26.70012547051443,27.352572145545796,12.296110414052698,-1.0451897983392644,1.9348102016607356,59.899623588456706,50,202.1957340025094,12.572145545796737
ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,27480000000.0,12.5,0.37,1.52,10.21,2.48,-5.45,45.12,1854000000,58.24341279799247,92.09535759096612,57.816813048933504,44.66750313676286,-6.746724890829695,-4.266724890829694,7.754077791718945,50,310.5771643663739,53.72647427854454
ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,369290000.0,0.0,11.87,2.57,20.75,0.0,15.01,20.07,-44672000,98.49435382685068,14.077791718946047,37.08908406524466,29.8870765370138,12.096726150180075,12.096726150180075,89.48557089084065,50,319.03387703889587,57.06398996235884
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,36910000000.0,27.42,3.37,7.66,57.44,2.47,-10.1,79.23,1448100000,23.01129234629862,39.34755332496863,8.933500627352572,9.786700125470514,-3.9233270116499597,-1.4533270116499595,15.056461731493098,50,146.13550815558344,2.3337515683814303
ADPT,Adeptus Health Inc.,Healthcare,Hospitals,USA,2089999999.9999998,111.91,6.94,19.44,0.0,0.0,147.11,100.72,0,3.3877038895859477,20.978670012547052,2.4341279799247175,98.44416562107905,-0.0,0.0,26.900878293601004,50,202.14554579673776,12.547051442910917
ADRO,"Aduro BioTech, Inc.",Healthcare,Biotechnology,USA,1210000000.0,0.0,52.87,0.0,124.82,0.0,0.0,19.44,98.41907151819322,6.223337515683814,98.41907151819322,3.96486825595985,0.0,27.50313676286073,50,284.5294855708908,40.62735257214555
ADS,Alliance Data Systems Corporation,Services,Business Services,USA,15920000000.0,30.5,2.7,8.19,13.84,0.0,-7.3,259.22,831344000,20.02509410288582,45.972396486825595,8.155583437892096,39.69887076537014,-5.2220100502512565,-5.2220100502512565,5.771643663739021,50,169.6235884567127,5.294855708908407
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,11780000000.0,166.97,4.59,5.29,23.45,0.0,-16.45,51.76,258000000,2.132998745294856,31.09159347553325,15.332496863237138,26.85069008782936,-2.1901528013582343,-2.1901528013582343,12.471769134253451,50,137.87954830614805,1.4805520702634882
ADT,The ADT Corporation,Services,Security & Protection Services,USA,5370000000.0,18.47,1.51,1.76,8.99,2.66,-19.79,31.58,131000000,40.200752823086574,62.20828105395232,51.84441656210791,46.39899623588457,-2.439478584729981,0.220521415270019,40.853199498117945,50,291.50564617314933,43.939774153074026
ADTN,ADTRAN Inc.,Technology,Communication Equipment,USA,778410000.0,31.82,1.28,1.63,33.84,2.31,-28.83,15.59,74901000,18.89585947302384,67.37766624843162,55.10664993726474,18.34378920953576,-9.622307010444366,-7.312307010444366,3.3375156838143036,50,213.06148055207026,15.382685069008783
ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,USA,331410000.0,27.37,1.0,2.44,13.92,0.0,40.84,29.83,-305000,23.06148055207026,74.42910915934755,39.12170639899624,39.498117942283564,0.09203101897951178,0.09203101897951178,38.24341279799247,50,264.3538268506901,32.37139272271016
ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1280000000.0,10.47,46.55,0.83,0.0,0.9,-4.49,13.4,0,62.785445420326226,6.449184441656211,83.08657465495608,98.2685069008783,-0.0,0.9,50.38895859473024,50,350.978670012547,70.8155583437892
ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,455300000.0,0.0,0.0,8.15,0.0,0.0,69.19,14.5,-38169000,98.24341279799246,98.24341279799246,8.180677540777918,98.24341279799246,8.383263782121677,8.383263782121677,84.91844416562108,50,437.82936010037633,96.98870765370138
AEE,Ameren Corporation,Utilities,Electric Utilities,USA,10310000000.0,18.98,1.72,1.52,0.0,3.86,0.66,42.51,7000000,38.72020075282309,58.14303638644919,57.84190715181933,98.21831869510666,-0.0678952473326867,3.792104752667313,71.24215809284819,50,374.16562107904645,82.33375156838143
AEG,AEGON N.V.,Financial,Life Insurance,Netherlands,13230000000.0,21.52,0.28,0.41,4.63,4.33,-16.34,6.24,32.72271016311167,94.3789209535759,90.84065244667502,50.188205771643666,4.33,73.50062735257214,50,391.63111668757836,89.71141781681304
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,USA,661020000.0,0.0,0.49,1.1,7.56,0.0,7.99,18.24,27449000,98.168130489335,88.83312421580929,70.51442910915935,47.75407779171895,-4.152521860155517,-4.152521860155517,8.130489335006272,50,363.40025094102884,76.88833124215809
AEGR,"Aegerion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,521690000.00000006,0.0,2.73,3.41,0.0,0.0,-31.28,18.26,-29079000,98.14303638644918,45.69636135508156,27.1267252195734,98.14303638644918,5.573999884989169,5.573999884989169,77.21455457967377,50,396.3237139272271,90.84065244667502
AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,USA,1030000000.0,0.0,1.79,3.94,13.19,0.0,-4.95,25.06,-9967000,98.11794228356337,56.91342534504391,22.383939774153074,40.52697616060226,0.9676699029126214,0.9676699029126214,51.41781681304893,50,319.36010037641154,57.18946047678796
AEL,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,2180000000.0,10.78,1.15,1.03,3.89,0.79,-11.51,25.45,-11039000,62.1831869510665,70.13801756587202,73.14930991217064,50.639899623588455,0.5063761467889908,1.2963761467889907,54.57967377666249,50,360.6900878293601,75.4077791718946
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,5700000000.0,0.0,2.91,1.36,102.64,1.22,-14.54,26.19,0,98.06775407779172,43.889585947302386,62.484316185696365,4.7929736511919705,-0.0,1.22,54.00250941028858,50,313.23713927227107,54.8306148055207
AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,3090000000.0,27.28,0.93,2.7,177.67,3.16,9.73,15.82,3488000,23.26223337515684,76.16060225846925,34.956085319949814,2.7603513174404015,-0.11288025889967639,3.0471197411003237,67.30238393977416,50,254.44165621079048,28.38143036386449
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,USA,28100000000.0,16.09,1.66,1.61,0.0,3.7,-1.19,57.29,-100000000,48.1555834378921,59.49811794228357,55.583437892095354,98.01756587202007,0.3558718861209964,4.055871886120997,72.62233375156838,50,383.87703889585947,87.25219573400251
AEPI,AEP Industries Inc.,Consumer Goods,Rubber & Plastics,USA,291360000.0,23.22,0.25,4.0,5.32,0.0,14.35,57.13,-467000,29.18444165621079,95.28230865746549,21.982434127979925,49.71141781681305,0.16028281164195496,0.16028281164195496,39.623588456712675,50,285.7841907151819,41.45545796737767
AER,AerCap Holdings N.V.,Services,"Air Services, Other",Netherlands,8550000000.000001,7.49,1.68,1.17,0.0,0.0,-5.75,43.3,0,68.80803011292346,58.920953575909664,68.45671267252196,97.96737766624844,-0.0,0.0,30.163111668757843,50,374.3161856963614,82.45922208281054
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,408980000.0,0.0,0.0,12.15,0.0,0.0,-44.8,15.92,-35662000,97.94228356336261,98.44416562107905,4.51693851944793,97.94228356336261,8.719741796664874,8.719741796664874,85.47051442910916,50,434.31618569636134,96.6624843161857
AES,The AES Corporation,Utilities,Electric Utilities,USA,8189999999.999999,9.6,0.5,2.16,0.0,3.33,2.23,12.0,370000000,64.46675031367629,88.58218318695107,44.06524466750314,97.91718946047678,-4.5177045177045185,-1.1877045177045185,16.110414052697617,50,361.14178168130485,75.80928481806775
AET,Aetna Inc.,Healthcare,Health Care Plans,USA,40270000000.0,17.48,0.67,2.62,17.43,0.87,15.25,115.51,924300000,43.588456712672524,83.86449184441656,36.235884567126725,34.8306148055207,-2.2952570151477527,-1.4252570151477526,15.181932245922209,50,263.70138017565876,32.04516938519448
AF,Astoria Financial Corporation,Financial,Savings & Loans,USA,1640000000.0,19.33,3.39,1.08,22.96,0.99,25.61,16.24,-10112000,38.042659974905895,39.24717691342535,71.41781681304893,27.27728983688833,0.6165853658536585,1.6065853658536584,57.31493099121706,50,283.2998745294856,39.82434127979925
AFAM,Almost Family Inc.,Healthcare,Home Health Care,USA,459970000.0,24.78,0.91,1.83,38.33,0.0,59.1,46.84,153000,26.775407779171896,76.73776662484316,50.288582183186946,15.48306148055207,-0.033263038893840906,-0.033263038893840906,22.986198243412797,50,242.27101631116687,24.065244667503137
AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,381910000.0,10.7,13.25,0.91,0.0,5.95,-0.9,13.27,0,62.35884567126725,11.744040150564619,78.14303638644918,97.81681304893351,-0.0,5.95,78.46925972396487,50,378.5319949811794,84.9435382685069
AFFX,Affymetrix Inc.,Technology,Scientific & Technical Instruments,USA,750310000.0,39.17,2.09,2.2,21.02,0.0,-19.45,9.4,-50650000,14.178168130489336,53.02383939774153,43.3375156838143,29.560853199498116,6.750543108848343,6.750543108848343,81.70639899623589,50,271.8067754077792,35.28230865746549
AFG,American Financial Group Inc.,Financial,Property & Casualty Insurance,USA,6190000000.0,15.77,1.03,1.29,5.79,1.42,12.5,70.63,-682000000,49.309912170639905,73.29987452948558,64.66750313676286,49.234629861982434,11.017770597738288,12.437770597738288,89.93726474278544,50,376.4491844416562,83.66373902132999
AFGE,American Financial Group Inc.,Financial,Property & Casualty Insurance,USA,2270000000.0,5.77,0.38,0.47,0.0,0.0,3.14,25.92,70.94102885821832,91.76913425345043,90.48933500627354,97.74153074027603,0.0,33.60100376411543,50,434.54203262233375,96.71267252195734
AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,25500000000.0,9.95,1.17,1.5,4.35,2.64,-2.45,59.2,63.91468005018821,69.68632371392722,58.41907151819322,50.36386449184441,2.64,64.91844416562108,50,357.30238393977413,73.42534504391467
AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,289680000.0,13.58,49.95,6.99,0.0,0.0,62.46,9.78,0,55.48306148055207,6.29861982434128,9.887076537013801,97.69134253450439,-0.0,0.0,33.70138017565872,50,253.06148055207026,27.80426599749059
AFOP,Alliance Fiber Optic Products Inc.,Technology,Diversified Electronics,USA,313600000.0,22.74,3.75,3.35,23.58,0.86,5.86,17.51,13788000,30.138017565872023,36.51191969887076,27.628607277289834,26.67503136762861,-4.396683673469388,-3.5366836734693883,9.159347553324968,50,180.1129234629862,7.151819322459223
