ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,pfcf_rank,bby,shy,shy_rank,evebitda_rank,rank,ovr_rank
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2630000000.0,13.25,11.98,1.63,0.0,7.35,-0.02,26.11,0.0,-14917000,58.315677966101696,10.646186440677965,58.02436440677966,99.6292372881356,0.5671863117870722,7.917186311787072,84.16313559322035,99.60148021633931,410.38008191125454,91.4989406779661
ABAX,"Abaxis, Inc.",Healthcare,Medical Laboratories & Research,USA,1080000000.0,48.02,5.1,4.79,80.01,0.93,-23.08,47.54,0.0,-57000,10.752118644067798,23.940677966101696,18.246822033898304,6.80614406779661,0.005277777777777778,0.9352777777777779,53.28389830508474,99.57301451750641,212.60267553445556,16.154661016949152
ABB,ABB Ltd.,Industrial Goods,Diversified Machinery,Switzerland,44240000000.0,16.96,1.17,2.92,33.21,0.95,-7.9,18.99,0.0,0,46.45127118644068,68.08792372881356,33.81885593220339,19.75635593220339,-0.0,0.95,53.46927966101694,99.54454881867349,321.1282352593514,58.05084745762712
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,109080000000.0,51.48,5.2,19.38,0.0,3.1,10.52,65.9,0.0,5444000000,9.82521186440678,23.384533898305087,2.621822033898305,99.54978813559322,-4.990832416574991,-1.8908324165749906,14.221398305084746,99.51608311984059,249.1188373571287,27.51588983050847
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,22010000000.0,0.0,0.17,14.18,7.05,1.14,-0.41,101.8,0.0,787274000,99.52330508474576,96.76906779661016,3.7605932203389827,51.483050847457626,-3.5768923216719672,-2.4368923216719676,12.341101694915254,99.48761742100768,363.3647360650755,74.6292372881356
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,890010000.0,23.42,5.09,1.83,0.0,0.72,6.55,27.64,0.0,-115200000,29.528601694915253,24.02012711864407,53.25741525423729,99.4968220338983,12.943674790170897,13.663674790170898,90.57203389830508,99.45915172217478,396.3341517221748,87.68538135593221
ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,211120000.0,0.0,1.47,0.0,15.41,0.0,75.09,4.64,0.0,257000,99.47033898305084,61.440677966101696,99.47033898305084,39.45974576271186,-0.12173171655930276,-0.12173171655930276,23.358050847457626,99.43068602334188,422.6298385657147,93.61758474576271
ABCO,The Advisory Board Company,Services,Business Services,USA,2140000000.0000002,0.0,3.25,3.62,52.89,0.0,-6.21,50.33,0.0,35302000,99.44385593220339,37.10275423728814,26.58898305084746,11.361228813559322,-1.649626168224299,-1.649626168224299,15.095338983050846,99.40222032450897,288.9943813414581,44.22669491525424
ABCW,Anchor BanCorp Wisconsin Inc.,Financial,Savings & Loans,USA,383620000.0,3.05,5.2,1.1,119.88,0.0,15.16,39.96,0.0,-5627000,72.13983050847457,23.358050847457626,74.60275423728814,4.210805084745763,1.4668161201188676,1.4668161201188676,58.686440677966104,99.37375462567606,332.3716359816083,63.215042372881356
ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,80380000000.0,22.26,6.77,6.32,0.0,0.0,-20.5,5.12,0.0,0,32.097457627118644,17.108050847457626,12.182203389830509,99.39088983050848,-0.0,0.0,26.27118644067797,99.34528892684315,286.39507706243637,43.034957627118644
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,2100000000.0,18.31,0.34,5.75,700.37,0.0,0.47,78.9,0.0,295400000,42.16101694915254,92.39936440677965,14.30084745762712,0.5561440677966102,-14.066666666666666,-14.066666666666666,1.1652542372881356,99.31682322801024,249.8994503466543,27.701271186440678
ABGB,Abengoa SA,Industrial Goods,Industrial Electrical Equipment,Spain,7200000000.0,51.13,0.87,4.01,0.0,14.91,-77.16,4.09,0.0,0,10.010593220338983,76.8802966101695,23.172669491525426,99.33792372881356,-0.0,14.91,91.60487288135593,99.28835752917735,400.29471346138075,89.08898305084746
ABM,ABM Industries Incorporated,Services,Business Services,USA,1860000000.0,22.71,0.36,1.87,33.9,1.94,7.52,32.93,0.0,9200000,30.93220338983051,91.65783898305084,52.118644067796616,19.30614406779661,-0.49462365591397855,1.4453763440860214,58.39512711864406,99.25989183034444,351.6698494574631,70.28601694915254
ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,4080000000.0,34.55,16.01,13.14,92.15,0.0,58.84,97.08,0.0,-15496000,17.08156779661017,8.871822033898304,4.263771186440677,5.746822033898305,0.37980392156862747,0.37980392156862747,45.815677966101696,99.23142613151153,181.01108714846066,8.792372881355933
ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified,USA,331310000.0,3.49,2.23,0.71,35.25,9.23,-3.36,6.5,0.0,144000,71.92796610169492,48.17266949152542,86.89088983050848,18.246822033898304,-0.04346382542030123,9.186536174579699,86.01694915254238,99.20296043267862,410.4582570428481,91.55190677966102
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,70240000000.0,29.83,3.43,3.06,71.9,2.04,0.59,47.13,0.0,933000000,21.08050847457627,35.48728813559322,32.22987288135593,7.8125,-1.3283029612756265,0.7116970387243735,50.34427966101694,99.17449473384572,246.12894388638807,26.35063559322034
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,391720000.0,0.0,23.32,0.66,0.0,0.0,0.0,7.21,0.0,-144933000,99.20550847457628,7.680084745762712,87.89724576271186,99.20550847457628,36.999132033084855,36.999132033084855,97.90783898305084,99.1460290350128,491.0422154756908,99.3114406779661
ABX,Barrick Gold Corporation,Basic Materials,Gold,Canada,9360000000.0,0.0,0.97,0.92,0.0,1.0,-36.46,8.01,0.0,0,99.17902542372882,73.59639830508475,80.64088983050848,99.17902542372882,-0.0,1.0,54.3167372881356,99.1175633361799,506.02963960736633,99.6292372881356
ABY,Abengoa Yield plc,Utilities,Electric Utilities,United Kingdom,1990000000.0,70.89,3.97,0.94,110.52,8.06,-39.61,19.85,0.0,0,6.276483050847458,31.32944915254237,80.21716101694916,4.555084745762712,-0.0,8.06,84.45444915254238,99.089097637347,305.9217247559911,51.50953389830508
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3590000000.0,0.0,53592.06,13.98,0.0,0.0,-5.24,35.65,0.0,-8127000,99.1260593220339,0.0,3.8135593220338984,99.1260593220339,0.22637883008356546,0.22637883008356546,42.902542372881356,99.06063193851409,344.02885227749715,67.5052966101695
ACAS,"American Capital, Ltd.",Financial,Asset Management,USA,3730000000.0,16.9,6.12,0.68,21.92,0.0,-8.0,13.69,0.0,19000000,46.63665254237288,19.173728813559322,87.36758474576271,29.97881355932203,-0.5093833780160858,-0.5093833780160858,19.99470338983051,99.03216623968119,302.18364929052865,50.1853813559322
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,USA,349030000.0,2689.0,0.51,1.94,0.0,1.86,-26.24,26.89,0.0,-488000,0.05296610169491525,87.76483050847457,50.715042372881356,99.07309322033898,0.13981606165659113,1.9998160616565912,63.13559322033898,99.00370054084829,399.7452259645771,89.00953389830508
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,4150000000.0000005,38.91,5.54,1.47,0.0,4.33,-11.12,36.96,-302361000,14.804025423728815,21.84851694915254,62.84427966101694,99.04661016949152,7.285807228915661,11.61580722891566,88.66525423728814,50,337.208686440678,65.01588983050848
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,807730000.0,8.59,0.5,1.35,5.65,0.0,-2.48,7.47,0.0,58800000,67.92902542372882,88.0031779661017,66.20762711864407,52.568855932203384,-7.279660282520149,-7.279660282520149,3.5487288135593222,98.97523484201537,377.23265009625266,82.3093220338983
ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,34020000000.000004,11.81,1.75,1.16,9.92,2.55,-7.48,105.07,0.0,1524000000,61.73199152542372,55.243644067796616,72.40466101694916,48.04025423728814,-4.4797178130511455,-1.9297178130511456,14.115466101694915,98.94676914318246,350.48278609233506,69.91525423728814
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,USA,710820000.0,28.06,1.32,2.92,77.26,0.98,17.64,24.41,0.0,-1532000,23.093220338983052,64.40677966101694,34.00423728813559,7.15042372881356,0.2155257308460651,1.1955257308460652,56.19703389830508,98.91830344434955,283.7699983596038,41.84322033898305
ACG,AllianceBernstein Income Fund,Financial,Closed-End Fund - Debt,USA,1810000000.0,12.81,15.89,0.89,32.92,5.16,8.97,7.94,0.0,0,59.375,8.951271186440678,81.70021186440678,20.021186440677965,-0.0,5.16,78.6281779661017,98.88983774551664,347.56568520314374,68.85593220338984
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,8630000000.0,11.21,2.09,1.48,9.42,0.0,18.4,70.51,0.0,809530000,63.10911016949152,50.42372881355932,62.52648305084746,48.96716101694915,-9.380417149478564,-9.380417149478564,2.2245762711864407,98.86137204668375,326.11243136871764,59.98411016949152
ACH,Aluminum Corporation Of China Limited,Basic Materials,Aluminum,China,11960000000.0,0.0,0.57,0.92,0.0,0.0,-28.15,8.32,0.0,0,98.88771186440678,85.48728813559322,80.82627118644068,98.88771186440678,-0.0,0.0,27.304025423728813,98.83290634785084,490.2259148224271,99.25847457627118
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,5280000000.0,48.16,3.75,3.02,0.0,0.0,17.62,73.68,0.0,-322681000,10.646186440677965,33.15677966101695,32.521186440677965,98.86122881355932,6.111382575757576,6.111382575757576,80.90572033898306,98.80444064901793,354.89554234393313,71.39830508474576
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1070000000.0000001,0.0,1531.46,3.83,0.0,0.0,-37.77,7.86,0.0,-192129000,98.83474576271186,0.3972457627118644,24.68220338983051,98.83474576271186,17.95598130841121,17.95598130841121,93.2468220338983,98.77597495018503,414.7717376620494,92.29343220338984
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2580000000.0,28.8,2.48,4.28,23.61,0.0,7.36,21.89,0.0,-25944000,22.11334745762712,45.18008474576271,21.239406779661017,28.15148305084746,1.0055813953488373,1.0055813953488373,54.47563559322034,98.74750925135211,269.90746687847076,35.30190677966102
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials,USA,376010000.0,164.5,1.49,2.07,57.85,0.0,26.54,3.29,0.0,-3409000,2.356991525423729,60.80508474576271,47.85487288135593,10.14300847457627,0.9066248238078775,0.9066248238078775,52.91313559322034,98.71904355251921,272.7921367728582,36.89088983050847
ACM,AECOM,Services,Technical Services,USA,4110000000.0000005,0.0,0.26,1.19,6.99,0.0,-6.03,27.25,0.0,-14328000,98.7552966101695,95.07415254237289,71.47775423728814,51.5625,0.3486131386861313,0.3486131386861313,45.20656779661017,98.6905778536863,460.766849040127,98.19915254237289
ACN,Accenture plc,Technology,Information Technology Services,Ireland,64000000000.0,20.98,1.95,10.29,25.25,2.1,8.39,97.13,0.0,1879473000,35.01059322033898,52.51588983050848,6.223516949152542,26.00635593220339,-2.9366765624999998,-0.8366765624999997,18.458686440677965,98.6621121548534,236.87715452773477,23.252118644067796
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,1280000000.0,124.58,2.93,2.25,35.3,0.0,-19.6,29.9,0.0,-17908000,3.1779661016949152,40.65148305084746,44.809322033898304,18.16737288135593,1.3990624999999999,1.3990624999999999,58.07733050847458,98.6336464560205,263.5171210322917,32.83898305084746
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,363350000.0,12.45,3.25,0.89,30.03,7.87,9.89,12.7,0.0,-83397000,60.248940677966104,37.15572033898305,81.77966101694916,22.11334745762712,22.952249896793724,30.822249896793725,97.21927966101694,98.6051807571876,397.12212990972995,87.97669491525424
ACTA,Actua Corporation,Technology,Application Software,USA,566990000.0,0.0,5.09,1.27,0.0,0.0,-8.62,13.89,0.0,19249000,98.64936440677965,23.967161016949152,68.59110169491525,98.64936440677965,-3.3949452371294027,-3.3949452371294027,9.93114406779661,98.57671505835468,398.364850651575,88.50635593220339
ACTG,Acacia Research Corporation,Services,Business Services,USA,450060000.0,0.0,3.15,0.95,0.0,5.64,-27.33,8.87,0.0,-959000,98.62288135593221,38.13559322033898,79.66101694915254,98.62288135593221,0.2130827000844332,5.853082700084433,80.29661016949152,98.54824935952178,493.8872324103692,99.41737288135593
ACXM,Acxiom Corporation,Technology,Information Technology Services,USA,1570000000.0,0.0,1.61,2.25,34.56,0.0,4.08,20.13,0.0,17037000,98.59639830508475,58.42161016949152,44.597457627118644,18.829449152542374,-1.0851592356687898,-1.0851592356687898,17.478813559322035,98.51978366068886,336.44351247424817,64.7510593220339
ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,887370000.0,0.0,201.68,1.61,0.0,0.0,0.0,12.53,0.0,98.56991525423729,4.978813559322034,58.73940677966102,98.56991525423729,0.0,28.177966101694917,98.49131796185596,387.5273349110085,85.69915254237289
ADBE,Adobe Systems Incorporated,Technology,Application Software,USA,39250000000.0,109.54,9.02,5.96,33.84,0.0,0.99,78.87,0.0,645668000,3.68114406779661,13.585805084745765,13.47987288135593,19.359110169491526,-1.6450140127388535,-1.6450140127388535,15.148305084745765,98.46285226302307,163.71708955115867,5.985169491525424
ADC,Agree Realty Corp.,Financial,Property Management,USA,538080000.0,18.07,8.82,1.41,0.0,6.28,-7.91,29.63,0.0,-86925000,42.902542372881356,13.71822033898305,64.5656779661017,98.51694915254238,16.154661016949152,22.434661016949153,95.07415254237289,98.43438656419015,413.21192893707155,92.05508474576271
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,214040000.0,0.0,0.79,0.0,0.0,0.0,-42.06,9.85,0.0,98.49046610169492,79.07838983050848,98.49046610169492,98.49046610169492,0.0,28.283898305084747,98.40592086535725,501.23960730603517,99.54978813559322
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,16870000000.000002,24.01,5.16,3.33,49.81,2.98,-7.65,53.78,0.0,176219000,28.57521186440678,23.596398305084744,29.39618644067797,12.076271186440678,-1.0445702430349733,1.9354297569650267,62.5,98.37745516652434,254.5215229631345,29.31673728813559
ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,27480000000.0,12.5,0.37,1.52,10.21,2.48,-5.45,45.12,0.0,1854000000,60.14300847457628,91.57838983050848,61.17584745762712,47.53707627118644,-6.746724890829695,-4.266724890829694,8.103813559322035,98.34898946769142,366.8871250609118,75.90042372881356
ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,369490000.0,0.0,11.88,2.67,0.0,0.0,15.01,20.07,0.0,-44672000,98.41101694915254,10.752118644067798,37.44703389830508,98.41101694915254,12.090178353947332,12.090178353947332,89.11546610169492,98.32052376885852,432.45717631123136,95.12711864406779
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,36910000000.0,27.42,3.37,7.66,57.44,2.47,-10.1,79.23,0.0,1448100000,23.834745762711865,36.016949152542374,9.322033898305085,10.27542372881356,-3.9233270116499597,-1.4533270116499595,15.86334745762712,98.29205807002562,193.60455807002563,11.811440677966102
ADPT,Adeptus Health Inc.,Healthcare,Hospitals,USA,2089999999.9999998,111.91,6.94,19.44,0.0,0.0,147.11,100.72,0,3.57521186440678,16.763771186440678,2.5953389830508473,98.35805084745762,-0.0,0.0,28.70762711864407,50,200.0,13.40042372881356
ADRO,"Aduro BioTech, Inc.",Healthcare,Biotechnology,USA,1210000000.0,0.0,52.86,0.0,124.8,0.0,0.0,19.44,0.0,98.33156779661016,6.223516949152542,98.33156779661016,4.025423728813559,0.0,28.9989406779661,98.26359237119271,334.1746093203452,64.08898305084746
ADS,Alliance Data Systems Corporation,Services,Business Services,USA,15920000000.0,30.5,2.7,8.19,13.84,0.0,-7.3,259.22,0.0,831344000,20.603813559322035,42.92902542372881,8.527542372881355,42.02860169491525,-5.2220100502512565,-5.2220100502512565,6.064618644067797,98.23512667235981,218.38872836727506,17.84957627118644
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,11780000000.0,166.97,4.59,5.29,23.45,0.0,-16.45,51.76,0.0,258000000,2.2510593220338984,27.304025423728813,16.101694915254235,28.389830508474578,-2.1901528013582343,-2.1901528013582343,13.135593220338984,98.20666097352691,185.3888643633574,9.93114406779661
ADT,The ADT Corporation,Services,Security & Protection Services,USA,5370000000.0,18.47,1.51,1.76,8.99,2.66,-19.79,31.58,0.0,131000000,41.472457627118644,60.35487288135594,54.63453389830508,49.39088983050847,-2.439478584729981,0.220521415270019,42.79661016949153,98.17819527469399,346.82755968147364,68.61758474576271
ADTN,ADTRAN Inc.,Technology,Communication Equipment,USA,778410000.0,31.82,1.28,1.63,33.84,2.31,-28.83,15.59,0.0,74901000,19.33262711864407,65.625,58.130296610169495,19.385593220338983,-9.622307010444366,-7.312307010444366,3.4957627118644066,98.14972957586109,264.11900923687807,33.23622881355932
ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,USA,331410000.0,27.37,1.0,2.44,13.92,0.0,40.84,29.83,0.0,-305000,23.914194915254235,72.98728813559322,41.28707627118644,41.86970338983051,0.09203101897951178,0.09203101897951178,40.121822033898304,98.12126387702818,318.3013486227909,56.779661016949156
ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1280000000.0,10.47,46.55,0.83,0.0,0.9,-4.49,13.4,0.0,0,64.67161016949152,6.435381355932203,83.60699152542372,98.17266949152543,-0.0,0.9,52.78072033898306,98.09279817819527,403.7601710595512,89.9364406779661
ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,455160000.0,0.0,0.0,8.15,0.0,0.0,69.19,14.5,0.0,-38169000,98.14618644067797,98.14618644067797,8.554025423728813,98.14618644067797,8.38584234115476,8.38584234115476,84.93114406779661,98.06433247936238,485.98806129292166,99.15254237288136
AEE,Ameren Corporation,Utilities,Electric Utilities,USA,10310000000.0,18.98,1.72,1.52,0.0,3.86,0.66,42.51,0.0,7000000,39.72457627118644,55.79978813559322,61.043432203389834,98.1197033898305,-0.0678952473326867,3.792104752667313,74.09957627118644,98.03586678052946,426.8229430517159,94.20021186440678
AEG,AEGON N.V.,Financial,Life Insurance,Netherlands,13400000000.0,20.8,0.28,0.41,4.69,4.33,-16.34,6.24,0.0,35.46080508474576,94.09427966101694,90.46610169491525,53.3103813559322,4.33,76.35063559322035,98.00740108169656,447.6896044715271,96.79555084745762
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,USA,661020000.0,0.0,0.49,1.1,7.56,0.0,7.99,18.24,0.0,27449000,98.0667372881356,88.42690677966102,74.4968220338983,50.90042372881356,-4.152521860155517,-4.152521860155517,8.527542372881355,97.97893538286365,418.39736758625344,93.11440677966102
AEGR,"Aegerion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,522600000.0,0.0,2.39,3.41,0.0,0.0,-31.28,18.26,0.0,-29079000,98.04025423728814,46.08050847457627,28.49576271186441,98.04025423728814,5.564293915040184,5.564293915040184,79.63453389830508,97.95046968403074,448.24178324335276,96.95444915254238
AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,USA,1030000000.0,0.0,1.79,3.94,13.19,0.0,-4.95,25.06,0.0,-9967000,98.01377118644068,54.47563559322034,23.67584745762712,42.98199152542373,0.9676699029126214,0.9676699029126214,53.840042372881356,97.92200398519783,370.909292120791,77.40995762711864
AEL,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,2180000000.0,10.78,1.15,1.03,3.89,0.79,-11.51,25.45,0.0,-11039000,64.00953389830508,68.61758474576271,77.01271186440678,53.840042372881356,0.5063761467889908,1.2963761467889907,57.04449152542372,97.89353828636493,418.4179026931446,93.14088983050848
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,5720000000.0,0.0,2.92,1.36,103.1,1.22,-14.54,26.19,0.0,0,97.96080508474576,40.8103813559322,65.91631355932203,4.978813559322034,-0.0,1.22,56.46186440677966,97.86507258753203,363.99325055363374,74.86758474576271
AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,3090000000.0,21.97,0.9,2.65,0.0,3.16,9.73,15.82,0.0,3488000,32.733050847457626,75.84745762711864,37.579449152542374,97.9343220338983,-0.11288025889967639,3.0471197411003237,70.25953389830508,97.83660688869912,412.19042044802114,91.84322033898306
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,USA,28100000000.0,16.09,1.66,1.61,0.0,3.7,-1.19,57.29,0.0,-100000000,49.60275423728814,57.309322033898304,58.55402542372882,97.90783898305084,0.3558718861209964,4.055871886120997,75.5031779661017,97.80814118986622,436.685259833934,95.6832627118644
AEPI,AEP Industries Inc.,Consumer Goods,Rubber & Plastics,USA,291360000.0,23.22,0.25,4.0,5.32,0.0,14.35,57.13,0.0,-467000,29.846398305084747,95.10063559322035,23.22563559322034,52.833686440677965,0.16028281164195496,0.16028281164195496,41.55190677966102,97.7796754910333,340.3379382028977,66.07521186440678
AER,AerCap Holdings N.V.,Services,"Air Services, Other",Netherlands,8550000000.000001,7.49,1.68,1.17,0.0,0.0,-5.75,43.3,0.0,69.22669491525424,56.91207627118644,72.21927966101694,97.85487288135593,0.0,30.69385593220339,97.7512097922004,424.6579894532174,93.88241525423729
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,408980000.0,0.0,0.0,12.15,0.0,0.0,-44.8,15.92,0.0,-35662000,97.82838983050848,98.33156779661016,4.740466101694915,97.82838983050848,8.719741796664874,8.719741796664874,85.32838983050848,97.7227440933675,481.77994748319804,99.04661016949152
AES,The AES Corporation,Utilities,Electric Utilities,USA,8189999999.999999,9.6,0.5,2.16,0.0,3.33,2.23,12.0,0.0,370000000,66.02224576271186,88.10911016949152,46.45127118644068,97.80190677966102,-4.5177045177045185,-1.1877045177045185,16.94915254237288,97.69427839453458,413.0279648352125,91.94915254237289
AET,Aetna Inc.,Healthcare,Health Care Plans,USA,40270000000.0,17.48,0.67,2.62,17.43,0.87,15.25,115.51,0.0,924300000,44.96822033898305,83.02436440677965,38.10911016949153,36.86440677966102,-2.2952570151477527,-1.4252570151477526,15.995762711864407,97.66581269570167,316.62767710248136,55.90572033898306
AF,Astoria Financial Corporation,Financial,Savings & Loans,USA,1640000000.0,19.33,3.39,1.08,22.96,0.99,25.61,16.24,0.0,-10112000,39.00953389830508,35.80508474576271,75.26483050847457,28.840042372881356,0.6165853658536585,1.6065853658536584,59.904661016949156,97.63734699686877,336.46149953924163,64.77754237288136
AFAM,Almost Family Inc.,Healthcare,Home Health Care,USA,459970000.0,24.78,0.91,1.83,38.33,0.0,59.1,46.84,0.0,153000,27.383474576271187,75.52966101694916,53.09851694915254,16.340042372881356,-0.033263038893840906,-0.033263038893840906,24.20550847457627,97.60888129803587,294.1660846878664,46.371822033898304
AFFX,Affymetrix Inc.,Technology,Scientific & Technical Instruments,USA,750310000.0,39.17,2.09,2.2,21.02,0.0,-19.45,9.4,0.0,-50650000,14.592161016949154,50.39724576271186,45.76271186440678,31.27648305084746,6.750543108848343,6.750543108848343,82.22987288135593,97.58041559920296,321.83889017547415,58.28919491525424
